company_id,company_name,country,industry,size_bin,group_memberships,signals_count,last_ts,score_0_100
277,Lloyd Aéreo Boliviano,BO,transport_logistics,m,0.0,0,,0.0
276,Produbanco,EC,finance_insurance,m,0.0,0,,0.0
3,Estrada de Ferro Araraquara,BR,transport_logistics,m,0.0,0,,0.0
2,"Dorada Railway Company, Ltd.",CO,transport_logistics,m,0.0,0,,0.0
1,Cervecería CCU Limache,CL,agro_food,m,0.0,0,,0.0
282,Ferrocarril Norte del Uruguay,UY,transport_logistics,m,0.0,0,,0.0
37,Departamentos & Suites Villa Teresa,MX,ict_telecom,m,0.0,0,,0.0
36,Sociedad Anónima de Radioemisoras del Plata,UY,ict_telecom,m,0.0,0,,0.0
35,Servindustriales Del Valle,CO,manufacturing,m,0.0,0,,0.0
34,Ferrocarriles y Tranvías del Estado,UY,transport_logistics,m,0.0,0,,0.0
33,Alia Revestimientos,PA,construction_realestate,m,0.0,0,,0.0
32,Alia Concretos,PA,construction_realestate,m,0.0,0,,0.0
31,Grupo Oti,PA,manufacturing,m,0.0,0,,0.0
30,Bolivia Railway Company,BO,transport_logistics,m,0.0,0,,0.0
19,Ferrocarril Domingo Faustino Sarmiento,AR,transport_logistics,m,0.0,0,,0.0
28,Central Uruguay Western Extension Railway,UY,transport_logistics,m,0.0,0,,0.0
27,Central Uruguay Eastern Extension Railway,UY,transport_logistics,m,0.0,0,,0.0
26,Colombia Railway and Navigation Company,CO,transport_logistics,m,0.0,0,,0.0
25,Central Uruguay Northern Extension Railway,UY,transport_logistics,m,0.0,0,,0.0
24,Taltal Railway,CL,transport_logistics,m,0.0,0,,0.0
23,Ferrocarril Central del Paraguay,PY,transport_logistics,m,0.0,0,,0.0
22,Grupo Ukamau,BO,ict_telecom,m,0.0,0,,0.0
21,Ferrocarriles Argentinos,AR,transport_logistics,m,0.0,0,,0.0
20,HEINEKEN México,MX,agro_food,m,0.0,0,,0.0
29,Ta-Ta,UY,retail_consumer,m,0.0,0,,0.0
134,Ferrocarril Noroeste del Uruguay,UY,transport_logistics,m,0.0,0,,0.0
133,EASY TAXI,BR,transport_logistics,m,0.0,0,,0.0
132,Baja California Railroad,MX,transport_logistics,m,0.0,0,,0.0
131,Aeronaves TSM,MX,transport_logistics,m,0.0,0,,0.0
130,Banco de Crédito de Bolivia,BO,finance_insurance,m,0.0,0,,0.0
129,Plaza Lama,DO,retail_consumer,m,0.0,0,,0.0
128,Noticias Argentinas,AR,ict_telecom,m,0.0,0,,0.0
127,Multi Ahorro,UY,retail_consumer,m,0.0,0,,0.0
76,T6poker,PA,chemicals_materials,m,0.0,0,,0.0
125,Los 40 Paraguay,PY,ict_telecom,m,0.0,0,,0.0
124,KDY,AR,manufacturing,m,0.0,0,,0.0
123,TAR México,MX,transport_logistics,m,0.0,0,,0.0
122,Empresa Generadora de Electricidad Haina,DO,energy_power,m,0.0,0,,0.0
121,Ecojet,BO,transport_logistics,m,0.0,0,,0.0
120,Rede Ferroviária Federal,BR,transport_logistics,m,0.0,0,,0.0
119,Fomento Económico Mexicano,MX,agro_food,l,0.0,0,,0.0
118,Telmex,MX,ict_telecom,m,0.0,0,,0.0
117,Ferroviaria Oriental,BO,transport_logistics,m,0.0,0,,0.0
126,Los 40 República Dominicana,DO,ict_telecom,m,0.0,0,,0.0
306,Ferrocarril Leopoldina,BR,transport_logistics,m,0.0,0,,0.0
152,Boomerang TV,CL,ict_telecom,m,0.0,0,,0.0
151,Banco Mercantil Santa Cruz S.A.,BO,finance_insurance,m,0.0,0,,0.0
150,Rumo S.A.,BR,transport_logistics,l,0.0,0,,0.0
149,Nubank,MX,finance_insurance,l,0.0,0,,0.0
148,Fondo Financiero para el Desarrollo de los Países de la Cuenca del Plata,BO,construction_realestate,m,0.0,0,,0.0
147,Baja Brewing Company,MX,agro_food,m,0.0,0,,0.0
146,Amaszonas Paraguay,PY,transport_logistics,m,0.0,0,,0.0
135,Bitel,PE,ict_telecom,m,0.0,0,,0.0
144,Banco BISA,BO,finance_insurance,m,0.0,0,,0.0
143,Wäls Brewing Company,BR,agro_food,m,0.0,0,,0.0
142,Arajet,DO,transport_logistics,m,0.0,0,,0.0
141,Cervecería Nacional,PA,agro_food,m,0.0,0,,0.0
140,Isaura S.A.,AR,oil_gas,m,0.0,0,,0.0
139,Tigo Paraguay,PY,ict_telecom,m,0.0,0,,0.0
138,MRS Logística,BR,transport_logistics,l,0.0,0,,0.0
137,Cooperativa de Transporte de Paysandú,UY,transport_logistics,m,0.0,0,,0.0
136,Promart Homecenter,PE,retail_consumer,m,0.0,0,,0.0
145,Banco Nacional de Bolivia,BO,finance_insurance,m,0.0,0,,0.0
94,Banco de Asunción,PY,finance_insurance,m,0.0,0,,0.0
93,Gas Express Nieto,MX,oil_gas,m,0.0,0,,0.0
92,Mobo,MX,retail_consumer,m,0.0,0,,0.0
91,lojas MM,PY,retail_consumer,m,0.0,0,,0.0
90,Fraiche,MX,retail_consumer,m,0.0,0,,0.0
89,YPF Full,AR,retail_consumer,m,0.0,0,,0.0
88,Metabiblioteca SAS,PA,construction_realestate,m,0.0,0,,0.0
87,Ferrocarril del Norte (Paraguay),PY,transport_logistics,m,0.0,0,,0.0
116,Ferrovia Sul Atlântico,BR,transport_logistics,m,0.0,0,,0.0
