row_idx,entity_id,old_industry,new_industry,reason,score,sector_hint
1802,ext::bcorp::espantapajaros-cl,agro_food_beverage,agro_food,weighted,5.5,
1803,ext::ungc::centro-brasil-design-br,ict_digital_media,ict_telecom,weighted,2.0,
1804,ext::bcorp::echale-mx,public_social_education,construction_realestate,weighted,5.0,
1806,ext::ungc::alpha-hardin-mx,construction_infrastructure_realestate,construction_realestate,weighted,3.0,
1807,ext::ungc::corporativo-ecotera-de-mexico-sa-de-cv-mx,retail_consumer_services,retail_consumer,weighted,6.0,
1808,ext::ungc::universidad-auton-ma-de-yucat-n-mx,ict_digital_media,public_social_education,alias,,
1811,ext::bcorp::femsolutions-sas-co,environmental_circular_services,healthcare_pharma_biotech,alias,,
1812,ext::bcorp::din4mo-br,transport_mobility_logistics,transport_logistics,weighted,7.5,
1814,ext::bcorp::code-brand-s-a-c-pe,public_social_education,retail_consumer,weighted,8.5,
1815,ext::ungc::servicios-ambientales-y-geograficos-s-a-co,agro_food_beverage,agro_food,weighted,5.5,
1816,ext::ungc::via-green-institute-br,ict_digital_media,ict_telecom,weighted,2.0,
1817,ext::ungc::2k-inversiones-y-servicios-sas-co,energy_power_utilities,energy_power,weighted,2.0,
1818,ext::ungc::associacao-nacional-das-universidades-particulares-br,transport_mobility_logistics,public_social_education,alias,,
1819,ext::ungc::productos-farmaceuticos-collins-s-a-de-c-v-mx,ict_digital_media,healthcare_pharma_biotech,alias,,
1820,ext::ungc::nestle-chile-s-a-cl,agro_food_beverage,agro_food,weighted,5.5,
1821,ext::ungc::centro-de-sistemas-de-antioquia-censa-co,ict_digital_media,ict_telecom,weighted,2.0,
1822,ext::ungc::orquesta-filarmonica-de-bogota-co,ict_digital_media,ict_telecom,weighted,2.0,
1823,ext::ungc::unimar-agenciamentos-maritimos-ltda-br,retail_consumer_services,retail_consumer,weighted,6.0,
